chi_gene	Ensembl Gene ID	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Chromosome Name
CARHR020400	AT1G19910	6913229	6914594	AVA-P2	ATPase, F0/V0 complex, subunit C protein [Source:EMBL;Acc:AEE29912.1]	1
CARHR020410	AT1G19920	6914613	6916805	ASA1	Pseudouridine synthase/archaeosine transglycosylase-like protein [Source:EMBL;Acc:AEE29913.1]	1
CARHR020420	AT1G19940	6918191	6920377	AtGH9B5	endoglucanase 2 [Source:EMBL;Acc:AEE29915.1]	1
CARHR020430	AT1G19950	6924184	6926724	HVA22H	HVA22-like protein h [Source:EMBL;Acc:AEE29916.1]	1
CARHR020440	AT1G19960	6928039	6928463	AT1G19960	uncharacterized protein [Source:EMBL;Acc:AEE29917.1]	1
CARHR020460	AT1G19970	6931012	6932689	AT1G19970	ER lumen protein retaining receptor-like protein [Source:EMBL;Acc:AEE29918.1]	1
CARHR020470	AT1G19980	6933016	6935002	AT1G19980	cytomatrix protein-like protein [Source:EMBL;Acc:AEE29919.1]	1
CARHR020480	AT1G20010	6937795	6940582	TUB5	tubulin beta-5 chain [Source:EMBL;Acc:AEE29922.1]	1
CARHR020500	AT1G20020	6942717	6945018	ATLFNR2	ferredoxin--NADP+ reductase [Source:EMBL;Acc:AEE29924.1]	1
CARHR020510	AT1G20030	6945425	6947344	AT1G20030	pathogenesis-related thaumatin-like protein [Source:EMBL;Acc:AEE29927.1]	1
CARHR020520	AT1G20050	6949043	6950319	HYD1	cholestenol delta-isomerase [Source:EMBL;Acc:AEE29928.1]	1
CARHR020530	AT1G20060	6950655	6956293	AT1G20060	ATP binding microtubule motor family protein [Source:EMBL;Acc:AEE29929.1]	1
CARHR020540	AT3G25940	9494697	9496092	AT3G25940	TFIIB zinc-binding protein [Source:EMBL;Acc:AEE77093.1]	3
CARHR020550	AT1G20070	6958010	6959123	AT1G20070	uncharacterized protein [Source:EMBL;Acc:AEE29932.1]	1
CARHR020560	AT1G20080	6962132	6965045	NTMC2T1.2	calcium-dependent lipid-binding domain [Source:EMBL;Acc:AEE29933.1]	1
CARHR020570	AT1G20090	6966922	6968933	ARAC4	Rac-like GTP-binding protein ARAC4 [Source:EMBL;Acc:AEE29934.1]	1
CARHR020600	AT1G20110	6971485	6974835	AT1G20110	RING/FYVE/PHD zinc finger-containing protein [Source:EMBL;Acc:AEE29937.1]	1
CARHR020610	AT1G20120	6975388	6977264	AT1G20120	GDSL esterase/lipase [Source:EMBL;Acc:AEE29938.1]	1
CARHR020630	AT1G20132	6981264	6983627	AT1G20132	GDSL-like lipase/acylhydrolase domain-containing protein [Source:EMBL;Acc:AEE29941.1]	1
CARHR020640	AT1G20135	6984124	6985498	AT1G20135	GDSL-like lipase/acylhydrolase-like protein [Source:EMBL;Acc:AEE29942.1]	1
CARHR020650	AT2G25700	10948747	10949626	ASK3	S-phase kinase-associated protein 1 [Source:EMBL;Acc:AEC07739.1]	2
CARHR020660	AT1G20150	6987332	6990361	AT1G20150	Subtilisin-like serine endopeptidase-like protein [Source:EMBL;Acc:AEE29944.1]	1
CARHR020670	AT1G20160	6990784	6993972	ATSBT5.2	Subtilisin-like serine endopeptidase-like protein [Source:EMBL;Acc:AEE29946.1]	1
CARHR020680	AT1G20180	6996210	6997943	AT1G20180	uncharacterized protein [Source:EMBL;Acc:AEE29948.1]	1
CARHR020690	AT1G20190	6998489	6999817	ATEXPA11	expansin-A11 [Source:EMBL;Acc:AEE29949.1]	1
CARHR020700	AT1G20200	7001201	7004418	EMB2719	26S proteasome regulatory subunit N3 [Source:EMBL;Acc:AEE29950.1]	1
CARHR020710	AT1G20220	7004879	7007651	AT1G20220	Alba DNA/RNA-binding protein [Source:EMBL;Acc:AEE29951.1]	1
CARHR020720	AT1G20225	7007756	7009333	AT1G20225	TRX domain-containing protein [Source:EMBL;Acc:AEE29952.1]	1
CARHR020730	AT1G20230	7009570	7011852	AT1G20230	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE29953.1]	1
CARHR020750	AT1G20260	7016693	7020590	AT1G20260	V-type proton ATPase subunit B3 [Source:EMBL;Acc:AEE29955.1]	1
CARHR020760	AT1G20270	7020749	7023067	AT1G20270	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase-like protein [Source:EMBL;Acc:AEE29956.1]	1
CARHR020780	AT1G20300	7029629	7031535	AT1G20300	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE29959.1]	1
CARHR020790	AT1G20310	7032290	7033208	AT1G20310	uncharacterized protein [Source:EMBL;Acc:AEE29960.1]	1
CARHR020800	AT1G20330	7038688	7040159	CVP1	24-methylenesterol C-methyltransferase 2 [Source:EMBL;Acc:AEE29962.1]	1
CARHR020810	AT1G20340	7042429	7043363	DRT112	Plastocyanin major isoform [Source:EMBL;Acc:AEE29963.1]	1
CARHR020820	AT1G20350	7043713	7044592	ATTIM17-1	translocase inner membrane subunit 17-1 [Source:EMBL;Acc:AEE29964.1]	1
CARHR020830	AT1G20370	7051577	7053641	AT1G20370	pseudouridine synthase-like protein [Source:EMBL;Acc:AEE29966.1]	1
CARHR020850	AT1G20380	7061665	7065178	AT1G20380	prolyl oligopeptidase-like protein [Source:EMBL;Acc:AEE29967.1]	1
CARHR020860	AT1G20410	7078898	7082547	AT1G20410	Pseudouridine synthase family protein [Source:EMBL;Acc:AEE29970.1]	1
CARHR020890	AT1G20430	7083196	7083835	AT1G20430	uncharacterized protein [Source:EMBL;Acc:AEE29971.1]	1
CARHR020900	AT1G20450	7088003	7089606	ERD10	dehydrin ERD10 [Source:EMBL;Acc:AEE29974.1]	1
CARHR020910	AT1G20460	7091361	7092993	AT1G20460	uncharacterized protein [Source:EMBL;Acc:AEE29975.1]	1
CARHR020920	AT1G20470	7094260	7094869	AT1G20470	SAUR-like auxin-responsive protein [Source:EMBL;Acc:AEE29976.1]	1
CARHR020930	AT1G20480	7094833	7097114	AT1G20480	4-coumarate--CoA ligase-like 2 [Source:EMBL;Acc:AEE29977.1]	1
CARHR020950	AT1G20500	7100502	7102915	AT1G20500	4-coumarate--CoA ligase-like 4 [Source:EMBL;Acc:AEE29979.1]	1
CARHR020960	AT5G38120	15213765	15216205	4CL8	4-coumarate--CoA ligase-like 8 [Source:EMBL;Acc:AED94270.1]	5
CARHR020980	AT1G20510	7103454	7105881	OPCL1	OPC-8:0 CoA ligase1 [Source:EMBL;Acc:AEE29981.1]	1
CARHR020990	AT1G20520	7106922	7107617	AT1G20520	uncharacterized protein [Source:EMBL;Acc:AEE29982.1]	1
CARHR021000	AT1G20530	7108370	7110377	AT1G20530	uncharacterized protein [Source:EMBL;Acc:AEE29983.1]	1
CARHR021020	AT1G20550	7115241	7118161	AT1G20550	O-fucosyltransferase-like protein [Source:EMBL;Acc:AEE29985.1]	1
CARHR021030	AT1G20560	7119676	7121817	AAE1	acyl activating enzyme 1 [Source:EMBL;Acc:AEE29987.1]	1
CARHR021040	AT1G20575	7126772	7128745	AT1G20575	dolichol-phosphate mannosyltransferase [Source:EMBL;Acc:AEE29989.1]	1
CARHR021050	AT1G20580	7128884	7130642	AT1G20580	small nuclear ribonucleoprotein-like protein [Source:EMBL;Acc:AEE29990.1]	1
CARHR021060	AT1G20610	7134790	7137781	CYCB2;3	cyclin-B2-3 [Source:EMBL;Acc:AEE29993.1]	1
CARHR021080	AT1G20620	7143067	7146540	CAT3	catalase 3 [Source:EMBL;Acc:AEE29996.1]	1
CARHR021090	AT1G20630	7146636	7149977	CAT1	catalase 1 [Source:EMBL;Acc:AEE29998.1]	1
CARHR021100	AT1G20640	7154410	7158218	AT1G20640	RWP-RK domain-containing protein [Source:EMBL;Acc:AEE30000.1]	1
CARHR021110	AT1G20650	7158244	7160526	AT1G20650	protein kinase-like protein [Source:EMBL;Acc:AEE30001.1]	1
CARHR021120	AT1G20670	7164190	7168021	AT1G20670	DNA-binding bromodomain-containing protein [Source:EMBL;Acc:AEE30002.1]	1
CARHR021130	AT1G20693	7176775	7178820	NFD02	high mobility group B2 protein [Source:EMBL;Acc:AEE30007.1]	1
CARHR021150	AT1G20700	7182558	7184009	WOX14	WUSCHEL-related homeobox 14 [Source:EMBL;Acc:AEE30012.1]	1
CARHR021160	AT1G20710	7184485	7185267	WOX10	putative WUSCHEL-related homeobox 10 [Source:EMBL;Acc:AEE30013.1]	1
CARHR021170	AT1G20720	7185658	7192794	AT1G20720	RAD3-like DNA-binding helicase protein [Source:EMBL;Acc:AEE30014.1]	1
CARHR021200	AT1G20760	7209369	7214993	AT1G20760	calcium-binding EF hand-containing protein [Source:EMBL;Acc:AEE30019.1]	1
CARHR021210	AT1G20770	7215015	7216741	AT1G20770	uncharacterized protein [Source:EMBL;Acc:AEE30020.1]	1
CARHR021220	AT1G20780	7217128	7220784	PUB44	U-box domain-containing protein 44 [Source:EMBL;Acc:AEE30021.1]	1
CARHR021230	AT1G20810	7232006	7233566	AT1G20810	peptidylprolyl isomerase [Source:EMBL;Acc:AEE30026.1]	1
CARHR021240	AT1G20816	7233768	7235128	AT1G20816	uncharacterized protein [Source:EMBL;Acc:AEE30027.1]	1
CARHR021250	AT1G20823	7238800	7239669	AT1G20823	RING-H2 finger protein ATL80 [Source:EMBL;Acc:AEE30028.1]	1
CARHR021260	AT1G20830	7242920	7244904	MCD1	multiple chloroplast division site 1 [Source:EMBL;Acc:AEE30029.1]	1
CARHR021270	AT1G20840	7244939	7248143	TMT1	monosaccharide-sensing protein 1 [Source:EMBL;Acc:AEE30030.1]	1
CARHR021280	AT1G20850	7252174	7253731	XCP2	Xylem cysteine proteinase 2 [Source:EMBL;Acc:AEE30031.1]	1
CARHR021290	AT1G20860	7254007	7258677	PHT1;8	putative inorganic phosphate transporter 1-8 [Source:EMBL;Acc:AEE30032.1]	1
CARHR021300	AT1G20870	7259102	7260775	AT1G20870	alpha-crystallin domain of heat shock protein-containing protein [Source:EMBL;Acc:AEE30033.1]	1
CARHR021310	AT1G20880	7262043	7265438	AT1G20880	RNA recognition motif-containing protein [Source:EMBL;Acc:AEE30036.1]	1
CARHR021320	AT1G20890	7265823	7267323	AT1G20890	uncharacterized protein [Source:EMBL;Acc:AEE30037.1]	1
CARHR021330	AT1G20900	7272556	7274072	ESC	putative DNA-binding protein ESCAROLA [Source:EMBL;Acc:AEE30038.1]	1
CARHR021350	AT1G20920	7285059	7289778	AT1G20920	DEAD-box ATP-dependent RNA helicase 42 [Source:EMBL;Acc:AEE30041.1]	1
CARHR021390	AT1G20925	7289973	7292507	AT1G20925	auxin efflux carrier-like protein [Source:EMBL;Acc:AEE30042.1]	1
CARHR021400	AT1G20930	7292568	7294746	CDKB2;2	cyclin-dependent kinase B2-2 [Source:EMBL;Acc:AEE30043.1]	1
CARHR021410	AT1G20950	7297239	7301415	AT1G20950	putative pyrophosphate-dependent phosphofructokinase alpha subunit [Source:EMBL;Acc:AEE30045.1]	1
CARHR021420	AT1G20960	7301748	7310250	emb1507	putative U5 small nuclear ribonucleoprotein helicase [Source:EMBL;Acc:AEE30047.1]	1
CARHR021430	AT1G20970	7313946	7319574	AT1G20970	uncharacterized protein [Source:EMBL;Acc:AEE30049.1]	1
CARHR021440	AT1G20980	7324588	7329385	SPL1R2	squamosa promoter binding-like protein 14 [Source:EMBL;Acc:AEE30050.1]	1
CARHR021450	AT1G20990	7330524	7331946	AT1G20990	DC1 domain-containing protein [Source:EMBL;Acc:AEE30051.1]	1
CARHR021470	AT1G21000	7337728	7339452	AT1G21000	PLATZ transcription factor domain-containing protein [Source:EMBL;Acc:AEE30053.1]	1
CARHR021480	AT1G21010	7346156	7346973	AT1G21010	uncharacterized protein [Source:EMBL;Acc:AEE30054.1]	1
CARHR021490	AT1G21050	7366775	7367678	AT1G21050	uncharacterized protein [Source:EMBL;Acc:AEE30055.1]	1
CARHR021500	AT1G21060	7371666	7374110	AT1G21060	uncharacterized protein [Source:EMBL;Acc:AEE30057.1]	1
CARHR021510	AT1G21065	7374210	7375789	AT1G21065	uncharacterized protein [Source:EMBL;Acc:AEE30058.1]	1
CARHR021520	AT1G21070	7375869	7378147	AT1G21070	nucleotide-sugar transporter-like protein [Source:EMBL;Acc:AEE30059.1]	1
CARHR021530	AT1G21080	7378538	7382661	AT1G21080	DNAJ heat shock N-terminal domain-containing protein [Source:EMBL;Acc:AEE30061.1]	1
CARHR021560	AT1G21090	7384629	7386558	AT1G21090	cupredoxin-like protein [Source:EMBL;Acc:AEE30063.1]	1
CARHR021580	AT1G21120	7395228	7396773	AT1G21120	O-methyltransferase family protein [Source:EMBL;Acc:AEE30066.1]	1
CARHR021590	AT1G21140	7404383	7405281	AT1G21140	Vacuolar iron transporter-like protein [Source:EMBL;Acc:AEE30069.1]	1
CARHR021600	AT1G21150	7406296	7407764	AT1G21150	Mitochondrial transcription termination factor family protein [Source:EMBL;Acc:AEE30070.1]	1
CARHR021610	AT1G21160	7407955	7412857	AT1G21160	eukaryotic translation initiation factor 2-like protein [Source:EMBL;Acc:AEE30071.1]	1
CARHR021630	AT1G21170	7413050	7419643	SEC5B	Exocyst complex component SEC5 [Source:EMBL;Acc:AEE30072.1]	1
CARHR021640	AT1G21190	7419678	7420903	AT1G21190	U6 snRNA-associated Sm-like protein [Source:EMBL;Acc:AEE30073.1]	1
CARHR021650	AT1G21200	7421217	7423143	AT1G21200	sequence-specific DNA binding transcription factor [Source:EMBL;Acc:AEE30074.1]	1
CARHR021700	AT1G21310	7453236	7455009	RSH	extensin 3 [Source:EMBL;Acc:AEE30083.1]	1
CARHR021710	AT1G21326	7469002	7469721	AT1G21326	VQ motif-containing protein [Source:EMBL;Acc:AEE30087.1]	1
CARHR021730	AT1G21340	7476087	7476869	AT1G21340	Dof zinc finger protein DOF1.2 [Source:EMBL;Acc:AEE30089.1]	1
CARHR021740	AT1G21350	7476942	7479042	AT1G21350	thioredoxin-like protein [Source:EMBL;Acc:AEE30090.1]	1
CARHR021750	AT1G21360	7481252	7483507	GLTP2	glycolipid transfer protein 2 [Source:EMBL;Acc:AEE30093.1]	1
CARHR021760	AT1G21370	7483781	7485666	AT1G21370	uncharacterized protein [Source:EMBL;Acc:AEE30095.1]	1
CARHR021770	AT1G21380	7485636	7488713	AT1G21380	Target of Myb protein 1 [Source:EMBL;Acc:AEE30096.1]	1
CARHR021780	AT1G21390	7489151	7490737	emb2170	embryo defective 2170 [Source:EMBL;Acc:AEE30097.1]	1
CARHR021790	AT1G21400	7493426	7496710	AT1G21400	2-oxoisovalerate dehydrogenase E1 component, alpha subunit [Source:EMBL;Acc:AEE30099.1]	1
CARHR021800	AT1G21410	7497141	7499579	SKP2A	F-box protein SKP2A [Source:EMBL;Acc:AEE30100.1]	1
CARHR021810	AT1G21430	7500845	7502186	YUC11	flavin-containing monooxygenase-like protein [Source:EMBL;Acc:AEE30101.1]	1
CARHR021820	AT1G21440	7502159	7504175	AT1G21440	phosphoenolpyruvate carboxylase-like protein [Source:EMBL;Acc:AEE30102.1]	1
CARHR021830	AT1G21450	7508969	7511801	SCL1	scarecrow-like protein 1 [Source:EMBL;Acc:AEE30103.1]	1
CARHR021840	AT1G21460	7511850	7513361	AtSWEET1	Nodulin MtN3-like protein [Source:EMBL;Acc:AEE30104.1]	1
CARHR021850	AT1G21480	7518946	7521504	AT1G21480	exostosin-like protein [Source:EMBL;Acc:AEE30107.1]	1
CARHR021860	AT1G21500	7529882	7531025	AT1G21500	uncharacterized protein [Source:EMBL;Acc:AEE30109.1]	1
CARHR021870	AT1G21510	7531312	7532629	AT1G21510	uncharacterized protein [Source:EMBL;Acc:AEE30110.1]	1
CARHR021900	AT1G21528	7542830	7543077	AT1G21528	uncharacterized protein [Source:EMBL;Acc:AEE30112.1]	1
CARHR021910	AT1G21540	7548614	7550565	AT1G21540	putative AMP-binding protein [Source:EMBL;Acc:AEE30115.1]	1
CARHR021920	AT1G21550	7553101	7553876	AT1G21550	putative calcium-binding protein CML44 [Source:EMBL;Acc:AEE30116.1]	1
CARHR021930	AT1G21560	7554784	7557056	AT1G21560	uncharacterized protein [Source:EMBL;Acc:AEE30117.1]	1
CARHR021940	AT1G21580	7557262	7565803	AT1G21580	zinc finger CCCH domain-containing protein [Source:EMBL;Acc:AEE30120.1]	1
CARHR021950	AT1G21590	7566232	7569902	AT1G21590	adenine nucleotide alpha hydrolases-domain containing protein kinase [Source:EMBL;Acc:AEE30121.1]	1
CARHR021960	AT1G21600	7570886	7573846	PTAC6	plastid transcriptionally active 6 [Source:EMBL;Acc:AEE30123.1]	1
CARHR021970	AT1G21610	7573922	7578956	AT1G21610	wound-responsive protein-like protein [Source:EMBL;Acc:AEE30125.1]	1
CARHR021980	AT1G21630	7581084	7588151	AT1G21630	calcium-binding EF-hand-containing protein [Source:EMBL;Acc:AEE30128.1]	1
CARHR021990	AT1G21640	7588414	7592890	ATNADK2	NAD kinase 2 [Source:EMBL;Acc:AEE30130.1]	1
CARHR022000	AT1G21650	7592664	7604229	SECA2	preprotein translocase secA-like protein [Source:EMBL;Acc:AEE30134.1]	1
CARHR022010	AT1G21660	7605699	7609065	AT1G21660	auxilin-like protein [Source:EMBL;Acc:AEE30136.1]	1
CARHR022020	AT1G21670	7610398	7612682	AT1G21670	uncharacterized protein [Source:EMBL;Acc:AEE30137.1]	1
CARHR022030	AT1G21680	7613005	7615339	AT1G21680	DPP6 N-terminal domain-like protein [Source:EMBL;Acc:AEE30138.1]	1
CARHR022040	AT1G21690	7615614	7618605	RFC4	replication factor C subunit 2/4 [Source:EMBL;Acc:AEE30140.1]	1
CARHR022050	AT1G21695	7618940	7619919	AT1G21695	hydroxyproline-rich glycoprotein family protein [Source:EMBL;Acc:AEE30143.1]	1
CARHR022060	AT1G21700	7620001	7624136	ATSWI3C	SWI/SNF complex subunit SWI3C [Source:EMBL;Acc:AEE30144.1]	1
CARHR022070	AT1G21710	7624396	7626116	OGG1	8-oxoguanine-DNA glycosylase 1 [Source:EMBL;Acc:AEE30145.1]	1
CARHR022100	AT1G21722	7628456	7629252	AT1G21722	uncharacterized protein [Source:EMBL;Acc:AEE30147.1]	1
CARHR022110	AT1G21730	7630107	7636594	AT1G21730	P-loop containing nucleoside triphosphate hydrolase-like protein [Source:EMBL;Acc:AEE30148.1]	1
CARHR022120	AT1G21840	7666460	7667758	UREF	urease accessory protein F [Source:EMBL;Acc:AEE30161.1]	1
CARHR022130	AT1G21740	7641580	7645078	AT1G21740	uncharacterized protein [Source:EMBL;Acc:AEE30150.1]	1
CARHR022140	AT1G21750	7645700	7648841	ATPDI5	protein disulfide-isomerase A1 [Source:EMBL;Acc:AEE30151.1]	1
CARHR022150	AT1G21760	7649194	7651816	ATFBP7	F-box protein 7 [Source:EMBL;Acc:AEE30153.1]	1
CARHR022160	AT1G21780	7651882	7654014	AT1G21780	BTB/POZ domain-containing protein [Source:EMBL;Acc:AEE30156.1]	1
CARHR022170	AT1G21790	7654184	7655883	AT1G21790	TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein [Source:EMBL;Acc:AEE30157.1]	1
CARHR022180	AT1G21810	7656399	7658634	AT1G21810	uncharacterized protein [Source:EMBL;Acc:AEE30158.1]	1
CARHR022190	AT1G21830	7661118	7662608	AT1G21830	uncharacterized protein [Source:EMBL;Acc:AEE30159.1]	1
CARHR022200	AT1G21850	7667803	7670530	sks8	SKU5 similar 8 protein [Source:EMBL;Acc:AEE30162.1]	1
CARHR022220	AT1G21870	7678208	7679697	GONST5	golgi nucleotide sugar transporter 5 [Source:EMBL;Acc:AEE30166.1]	1
CARHR022230	AT1G21880	7680481	7682641	LYM1	LysM domain-containing GPI-anchored protein 1 [Source:EMBL;Acc:AEE30167.1]	1
CARHR022240	AT1G21890	7682584	7685662	AT1G21890	nodulin MtN21 /EamA-like transporter-like protein [Source:EMBL;Acc:AEE30169.1]	1
CARHR022250	AT1G21900	7690802	7692438	AT1G21900	emp24/gp25L/p24 family/GOLD domain-containing protein [Source:EMBL;Acc:AEE30170.1]	1
CARHR022260	AT1G21910	7696536	7697699	DREB26	ethylene-responsive transcription factor ERF012 [Source:EMBL;Acc:AEE30171.1]	1
CARHR022270	AT1G21920	7704255	7706140	AT1G21920	putative phosphatidylinositol-4-phosphate 5-kinase [Source:EMBL;Acc:AEE30172.1]	1
CARHR022310	AT1G21930	7712898	7714443	AT1G21930	uncharacterized protein [Source:EMBL;Acc:AEE30175.1]	1
CARHR022320	AT1G21970	7727577	7729617	LEC1	leafy cotyledon 1 transcription factor [Source:EMBL;Acc:AEE30179.1]	1
CARHR022330	AT1G58248	21586036	21586311	AT1G58248	Plant thionin family protein [Source:EMBL;Acc:AEE33522.1]	1
CARHR022340	AT1G21980	7734739	7738661	PIP5K1	phosphatidylinositol-4-phosphate 5-kinase 1 [Source:EMBL;Acc:AEE30181.1]	1
CARHR022360	AT1G22015	7751002	7753519	DD46	putative beta-1,3-galactosyltransferase 5 [Source:EMBL;Acc:AEE30185.1]	1
CARHR022370	AT1G22020	7754321	7757383	SHM6	serine hydroxymethyltransferase 6 [Source:EMBL;Acc:AEE30186.1]	1
CARHR022380	AT1G22030	7759164	7760556	AT1G22030	uncharacterized protein [Source:EMBL;Acc:AEE30187.1]	1
CARHR022390	AT1G22040	7767924	7770055	AT1G22040	F-box/kelch-repeat protein [Source:EMBL;Acc:AEE30188.1]	1
CARHR022400	AT1G22050	7771670	7773154	MUB6	membrane-anchored ubiquitin-fold protein 6 [Source:EMBL;Acc:AEE30189.1]	1
CARHR022410	AT1G22060	7773063	7781499	AT1G22060	uncharacterized protein [Source:EMBL;Acc:AEE30190.1]	1
CARHR022420	AT1G22065	7785776	7786391	AT1G22065	uncharacterized protein [Source:EMBL;Acc:AEE30191.1]	1
CARHR022430	AT1G22070	7789348	7792114	TGA3	transcription factor TGA3 [Source:EMBL;Acc:AEE30193.1]	1
CARHR022450	AT1G22100	7798023	7800228	AT1G22100	Inositol-pentakisphosphate 2-kinase-like protein [Source:EMBL;Acc:AEE30197.1]	1
CARHR022460	AT1G22110	7800507	7802562	AT1G22110	structural constituent of ribosome [Source:EMBL;Acc:AEE30198.1]	1
CARHR022470	AT1G22120	7806309	7809632	AT1G22120	uncharacterized protein [Source:EMBL;Acc:AEE30199.1]	1
CARHR022480	AT1G22130	7812387	7814264	AGL104	protein AGAMOUS-like 104 [Source:EMBL;Acc:AEE30200.1]	1
CARHR022490	AT1G22140	7814763	7815631	AT1G22140	uncharacterized protein [Source:EMBL;Acc:AEE30201.1]	1
CARHR022500	AT1G22150	7818361	7821344	SULTR1;3	sulfate transporter 1.3 [Source:EMBL;Acc:AEE30203.1]	1
CARHR022510	AT1G22160	7823149	7823971	AT1G22160	uncharacterized protein [Source:EMBL;Acc:AEE30204.1]	1
CARHR022520	AT1G22170	7826289	7828326	AT1G22170	phosphoglycerate mutase-like protein [Source:EMBL;Acc:AEE30205.1]	1
CARHR022530	AT1G22180	7828326	7830392	AT1G22180	sec.4-like phosphatidylinositol transfer protein [Source:EMBL;Acc:AEE30207.1]	1
CARHR022540	AT1G22190	7835782	7837288	AT1G22190	ethylene-responsive transcription factor ERF058 [Source:EMBL;Acc:AEE30209.1]	1
CARHR022550	AT1G22200	7837591	7840788	AT1G22200	Endoplasmic reticulum vesicle transporter protein [Source:EMBL;Acc:AEE30211.1]	1
CARHR022560	AT1G22210	7841518	7844056	TPPC	haloacid dehalogenase-like hydrolase [Source:EMBL;Acc:AEE30212.1]	1
CARHR022570	AT1G22220	7846602	7847802	AT1G22220	F-box protein [Source:EMBL;Acc:AEE30213.1]	1
CARHR022580	AT1G22230	7849861	7851122	AT1G22230	uncharacterized protein [Source:EMBL;Acc:AEE30214.1]	1
CARHR022590	AT1G22240	7853084	7854963	APUM8	protein pumilio 8 [Source:EMBL;Acc:AEE30215.1]	1
CARHR022620	AT1G22250	7858864	7859766	AT1G22250	uncharacterized protein [Source:EMBL;Acc:AEE30216.1]	1
CARHR022650	AT1G22270	7865481	7866139	AT1G22270	Trm1.2-like protein [Source:EMBL;Acc:AEE30218.1]	1
CARHR022660	AT1G22260	7859630	7865249	ZYP1	synaptonemal complex protein 1 [Source:EMBL;Acc:AEE30217.1]	1
CARHR022670	AT1G22280	7873867	7875878	AT1G22280	putative protein phosphatase 2C 9 [Source:EMBL;Acc:AEE30220.1]	1
CARHR022680	AT1G22300	7878769	7881219	14-3-3EPSILON	14-3-3-like protein GF14 epsilon [Source:EMBL;Acc:AEE30227.1]	1
CARHR022690	AT1G22310	7881537	7883742	MBD8	methyl-CPG-binding domain 8 [Source:EMBL;Acc:AEE30228.1]	1
CARHR022700	AT1G22330	7886542	7889534	AT1G22330	RNA recognition motif-containing protein [Source:EMBL;Acc:AEE30230.1]	1
CARHR022720	AT1G22360	7894858	7897591	AtUGT85A2	UDP-glucosyl transferase 85A2 [Source:EMBL;Acc:AEE30232.1]	1
CARHR022750	AT1G22400	7903660	7906673	ATUGT85A1	cytokinin-O-glucosyltransferase 2 [Source:EMBL;Acc:AEE30237.1]	1
CARHR022760	AT1G22410	7912046	7915003	AT1G22410	class-II DAHP synthetase-like protein [Source:EMBL;Acc:AEE30238.1]	1
CARHR022770	AT1G22430	7919144	7921832	AT1G22430	alcohol dehydrogenase-like 1 [Source:EMBL;Acc:AEE30240.1]	1
CARHR022780	AT1G22440	7922428	7924944	AT1G22440	alcohol dehydrogenase-like 2 [Source:EMBL;Acc:AEE30242.1]	1
CARHR022790	AT1G22450	7925121	7927278	COX6B	cytochrome C oxidase 6B [Source:EMBL;Acc:AEE30243.1]	1
CARHR022800	AT1G22460	7927428	7930657	AT1G22460	O-fucosyltransferase family protein [Source:EMBL;Acc:AEE30244.1]	1
